Code Snippet,Rule,Result
"class SEResNet152(SENet):
    """"""
    SEResNet152 based on `Squeeze-and-Excitation Networks` with optional pretrained support when spatial_dims is 2.
    """"""

    def __init__(self, layers: Sequence[int]=(3, 8, 36, 3), groups: int=1, reduction: int=16, inplanes: int=64, downsample_kernel_size: int=1, input_3x3: bool=False, pretrained: bool=False, progress: bool=True, **kwargs) -> None:
        super().__init__(block=SEResNetBottleneck, layers=layers, groups=groups, reduction=reduction, inplanes=inplanes, downsample_kernel_size=downsample_kernel_size, input_3x3=input_3x3, **kwargs)
        if pretrained:
            _load_state_dict(self, 'se_resnet152', progress)","The supplier shall document which training data elements/variables were used to develop the model [assuming that it is not all of the data originally collected (see 5.2.4)]. Where data are excluded, the supplier shall document the process and rationale for removal.",FALSE
"class SEResNet152(SENet):
    """"""
    SEResNet152 based on `Squeeze-and-Excitation Networks` with optional pretrained support when spatial_dims is 2.
    """"""

    def __init__(self, layers: Sequence[int]=(3, 8, 36, 3), groups: int=1, reduction: int=16, inplanes: int=64, downsample_kernel_size: int=1, input_3x3: bool=False, pretrained: bool=False, progress: bool=True, **kwargs) -> None:
        super().__init__(block=SEResNetBottleneck, layers=layers, groups=groups, reduction=reduction, inplanes=inplanes, downsample_kernel_size=downsample_kernel_size, input_3x3=input_3x3, **kwargs)
        if pretrained:
            _load_state_dict(self, 'se_resnet152', progress)","The software supplier shall enforce a consistent naming convention for all functions, classes, and variables throughout the codebase to improve code readability and maintainability.",FALSE
"def init_bundle(bundle_dir: PathLike, ckpt_file: PathLike | None=None, network: torch.nn.Module | None=None, dataset_license: bool=False, metadata_str: dict | str | None=None, inference_str: dict | str | None=None) -> None:
    """"""
    Initialise a new bundle directory with some default configuration files and optionally network weights.

    Typical usage example:

    .. code-block:: bash

        python -m monai.bundle init_bundle /path/to/bundle_dir network_ckpt.pt

    Args:
        bundle_dir: directory name to create, must not exist but parent direct must exist
        ckpt_file: optional checkpoint file to copy into bundle
        network: if given instead of ckpt_file this network's weights will be stored in bundle
        dataset_license: if `True`, a default license file called ""data_license.txt"" will be produced. This
            file is required if there are any license conditions stated for data your bundle uses.
        metadata_str: optional metadata string to write to bundle, if not given a default will be used.
        inference_str: optional inference string to write to bundle, if not given a default will be used.
    """"""
    if metadata_str is None:
        metadata_str = DEFAULT_METADATA
    if inference_str is None:
        inference_str = DEFAULT_INFERENCE
    bundle_dir = Path(bundle_dir).absolute()
    if bundle_dir.exists():
        raise ValueError(f""Specified bundle directory '{str(bundle_dir)}' already exists"")
    if not bundle_dir.parent.is_dir():
        raise ValueError(f""Parent directory of specified bundle directory '{str(bundle_dir)}' does not exist"")
    configs_dir = bundle_dir / 'configs'
    models_dir = bundle_dir / 'models'
    docs_dir = bundle_dir / 'docs'
    bundle_dir.mkdir()
    configs_dir.mkdir()
    models_dir.mkdir()
    docs_dir.mkdir()
    if isinstance(metadata_str, dict):
        metadata_str = json.dumps(metadata_str, indent=4)
    if isinstance(inference_str, dict):
        inference_str = json.dumps(inference_str, indent=4)
    with open(str(configs_dir / 'metadata.json'), 'w') as o:
        o.write(metadata_str)
    with open(str(configs_dir / 'inference.json'), 'w') as o:
        o.write(inference_str)
    with open(str(docs_dir / 'README.md'), 'w') as o:
        readme = '\n        # Your Model Name\n\n        Describe your model here and how to run it, for example using `inference.json`:\n\n        ```\n        python -m monai.bundle run             --meta_file /path/to/bundle/configs/metadata.json             --config_file /path/to/bundle/configs/inference.json             --dataset_dir ./input             --bundle_root /path/to/bundle\n        ```\n        '
        o.write(dedent(readme))
    with open(str(bundle_dir / 'LICENSE'), 'w') as o:
        o.write('Select a license and place its terms here\n')
    if dataset_license is True:
        with open(str(docs_dir / 'data_license.txt'), 'w') as o:
            o.write('Select a license for dataset and place its terms here\n')
    if ckpt_file is not None:
        copyfile(str(ckpt_file), str(models_dir / 'model.pt'))
    elif network is not None:
        save_state(network, str(models_dir / 'model.pt'))",The supplier shall document processes for a product to enable end-users to report safety issues (including near misses) at the time of their occurrence.,FALSE
"def init_bundle(bundle_dir: PathLike, ckpt_file: PathLike | None=None, network: torch.nn.Module | None=None, dataset_license: bool=False, metadata_str: dict | str | None=None, inference_str: dict | str | None=None) -> None:
    """"""
    Initialise a new bundle directory with some default configuration files and optionally network weights.

    Typical usage example:

    .. code-block:: bash

        python -m monai.bundle init_bundle /path/to/bundle_dir network_ckpt.pt

    Args:
        bundle_dir: directory name to create, must not exist but parent direct must exist
        ckpt_file: optional checkpoint file to copy into bundle
        network: if given instead of ckpt_file this network's weights will be stored in bundle
        dataset_license: if `True`, a default license file called ""data_license.txt"" will be produced. This
            file is required if there are any license conditions stated for data your bundle uses.
        metadata_str: optional metadata string to write to bundle, if not given a default will be used.
        inference_str: optional inference string to write to bundle, if not given a default will be used.
    """"""
    if metadata_str is None:
        metadata_str = DEFAULT_METADATA
    if inference_str is None:
        inference_str = DEFAULT_INFERENCE
    bundle_dir = Path(bundle_dir).absolute()
    if bundle_dir.exists():
        raise ValueError(f""Specified bundle directory '{str(bundle_dir)}' already exists"")
    if not bundle_dir.parent.is_dir():
        raise ValueError(f""Parent directory of specified bundle directory '{str(bundle_dir)}' does not exist"")
    configs_dir = bundle_dir / 'configs'
    models_dir = bundle_dir / 'models'
    docs_dir = bundle_dir / 'docs'
    bundle_dir.mkdir()
    configs_dir.mkdir()
    models_dir.mkdir()
    docs_dir.mkdir()
    if isinstance(metadata_str, dict):
        metadata_str = json.dumps(metadata_str, indent=4)
    if isinstance(inference_str, dict):
        inference_str = json.dumps(inference_str, indent=4)
    with open(str(configs_dir / 'metadata.json'), 'w') as o:
        o.write(metadata_str)
    with open(str(configs_dir / 'inference.json'), 'w') as o:
        o.write(inference_str)
    with open(str(docs_dir / 'README.md'), 'w') as o:
        readme = '\n        # Your Model Name\n\n        Describe your model here and how to run it, for example using `inference.json`:\n\n        ```\n        python -m monai.bundle run             --meta_file /path/to/bundle/configs/metadata.json             --config_file /path/to/bundle/configs/inference.json             --dataset_dir ./input             --bundle_root /path/to/bundle\n        ```\n        '
        o.write(dedent(readme))
    with open(str(bundle_dir / 'LICENSE'), 'w') as o:
        o.write('Select a license and place its terms here\n')
    if dataset_license is True:
        with open(str(docs_dir / 'data_license.txt'), 'w') as o:
            o.write('Select a license for dataset and place its terms here\n')
    if ckpt_file is not None:
        copyfile(str(ckpt_file), str(models_dir / 'model.pt'))
    elif network is not None:
        save_state(network, str(models_dir / 'model.pt'))","The software supplier shall detect and report unused functions, classes, and code blocks within the codebase, encouraging the removal of dead code to maintain code cleanliness.",FALSE
"class RandAffined(RandomizableTransform, MapTransform, InvertibleTransform, LazyTransform):
    """"""
    Dictionary-based wrapper of :py:class:`monai.transforms.RandAffine`.

    This transform is capable of lazy execution. See the :ref:`Lazy Resampling topic<lazy_resampling>`
    for more information.
    """"""
    backend = RandAffine.backend

    def __init__(self, keys: KeysCollection, spatial_size: Sequence[int] | int | None=None, prob: float=0.1, rotate_range: Sequence[tuple[float, float] | float] | float | None=None, shear_range: Sequence[tuple[float, float] | float] | float | None=None, translate_range: Sequence[tuple[float, float] | float] | float | None=None, scale_range: Sequence[tuple[float, float] | float] | float | None=None, mode: SequenceStr=GridSampleMode.BILINEAR, padding_mode: SequenceStr=GridSamplePadMode.REFLECTION, cache_grid: bool=False, device: torch.device | None=None, allow_missing_keys: bool=False, lazy: bool=False) -> None:
        """"""
        Args:
            keys: keys of the corresponding items to be transformed.
            spatial_size: output image spatial size.
                if `spatial_size` and `self.spatial_size` are not defined, or smaller than 1,
                the transform will use the spatial size of `img`.
                if some components of the `spatial_size` are non-positive values, the transform will use the
                corresponding components of img size. For example, `spatial_size=(32, -1)` will be adapted
                to `(32, 64)` if the second spatial dimension size of img is `64`.
            prob: probability of returning a randomized affine grid.
                defaults to 0.1, with 10% chance returns a randomized grid.
            rotate_range: angle range in radians. If element `i` is a pair of (min, max) values, then
                `uniform[-rotate_range[i][0], rotate_range[i][1])` will be used to generate the rotation parameter
                for the `i`th spatial dimension. If not, `uniform[-rotate_range[i], rotate_range[i])` will be used.
                This can be altered on a per-dimension basis. E.g., `((0,3), 1, ...)`: for dim0, rotation will be
                in range `[0, 3]`, and for dim1 `[-1, 1]` will be used. Setting a single value will use `[-x, x]`
                for dim0 and nothing for the remaining dimensions.
            shear_range: shear range with format matching `rotate_range`, it defines the range to randomly select
                shearing factors(a tuple of 2 floats for 2D, a tuple of 6 floats for 3D) for affine matrix,
                take a 3D affine as example::

                    [
                        [1.0, params[0], params[1], 0.0],
                        [params[2], 1.0, params[3], 0.0],
                        [params[4], params[5], 1.0, 0.0],
                        [0.0, 0.0, 0.0, 1.0],
                    ]

            translate_range: translate range with format matching `rotate_range`, it defines the range to randomly
                select pixel/voxel to translate for every spatial dims.
            scale_range: scaling range with format matching `rotate_range`. it defines the range to randomly select
                the scale factor to translate for every spatial dims. A value of 1.0 is added to the result.
                This allows 0 to correspond to no change (i.e., a scaling of 1.0).
            mode: {``""bilinear""``, ``""nearest""``} or spline interpolation order 0-5 (integers).
                Interpolation mode to calculate output values. Defaults to ``""bilinear""``.
                See also: https://pytorch.org/docs/stable/generated/torch.nn.functional.grid_sample.html
                When it's an integer, the numpy (cpu tensor)/cupy (cuda tensor) backends will be used
                and the value represents the order of the spline interpolation.
                See also: https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.map_coordinates.html
                It also can be a sequence, each element corresponds to a key in ``keys``.
            padding_mode: {``""zeros""``, ``""border""``, ``""reflection""``}
                Padding mode for outside grid values. Defaults to ``""reflection""``.
                See also: https://pytorch.org/docs/stable/generated/torch.nn.functional.grid_sample.html
                When `mode` is an integer, using numpy/cupy backends, this argument accepts
                {'reflect', 'grid-mirror', 'constant', 'grid-constant', 'nearest', 'mirror', 'grid-wrap', 'wrap'}.
                See also: https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.map_coordinates.html
                It also can be a sequence, each element corresponds to a key in ``keys``.
            cache_grid: whether to cache the identity sampling grid.
                If the spatial size is not dynamically defined by input image, enabling this option could
                accelerate the transform.
            device: device on which the tensor will be allocated.
            allow_missing_keys: don't raise exception if key is missing.
            lazy: a flag to indicate whether this transform should execute lazily or not.
                Defaults to False

        See also:
            - :py:class:`monai.transforms.compose.MapTransform`
            - :py:class:`RandAffineGrid` for the random affine parameters configurations.

        """"""
        MapTransform.__init__(self, keys, allow_missing_keys)
        RandomizableTransform.__init__(self, prob)
        LazyTransform.__init__(self, lazy=lazy)
        self.rand_affine = RandAffine(prob=1.0, rotate_range=rotate_range, shear_range=shear_range, translate_range=translate_range, scale_range=scale_range, spatial_size=spatial_size, cache_grid=cache_grid, device=device, lazy=lazy)
        self.mode = ensure_tuple_rep(mode, len(self.keys))
        self.padding_mode = ensure_tuple_rep(padding_mode, len(self.keys))

    @LazyTransform.lazy.setter
    def lazy(self, val: bool) -> None:
        self._lazy = val
        self.rand_affine.lazy = val

    def set_random_state(self, seed: int | None=None, state: np.random.RandomState | None=None) -> RandAffined:
        self.rand_affine.set_random_state(seed, state)
        super().set_random_state(seed, state)
        return self

    def __call__(self, data: Mapping[Hashable, NdarrayOrTensor], lazy: bool | None=None) -> dict[Hashable, NdarrayOrTensor]:
        """"""
        Args:
            data: a dictionary containing the tensor-like data to be processed. The ``keys`` specified
                in this dictionary must be tensor like arrays that are channel first and have at most
                three spatial dimensions
            lazy: a flag to indicate whether this transform should execute lazily or not
                during this call. Setting this to False or True overrides the ``lazy`` flag set
                during initialization for this call. Defaults to None.

        Returns:
            a dictionary containing the transformed data, as well as any other data present in the dictionary
        """"""
        d = dict(data)
        first_key: Hashable = self.first_key(d)
        if first_key == ():
            out: dict[Hashable, NdarrayOrTensor] = convert_to_tensor(d, track_meta=get_track_meta())
            return out
        self.randomize(None)
        self.rand_affine.randomize()
        item = d[first_key]
        spatial_size = item.peek_pending_shape() if isinstance(item, MetaTensor) else item.shape[1:]
        lazy_ = self.lazy if lazy is None else lazy
        sp_size = fall_back_tuple(self.rand_affine.spatial_size, spatial_size)
        do_resampling = self._do_transform or sp_size != ensure_tuple(spatial_size)
        grid = None
        if do_resampling:
            grid = self.rand_affine.get_identity_grid(sp_size, lazy=lazy_)
            if self._do_transform:
                grid = self.rand_affine.rand_affine_grid(sp_size, grid=grid, lazy=lazy_)
        grid = 0 if grid is None else grid
        for (key, mode, padding_mode) in self.key_iterator(d, self.mode, self.padding_mode):
            if do_resampling:
                d[key] = self.rand_affine(d[key], None, mode, padding_mode, True, grid, lazy=lazy_)
            else:
                d[key] = convert_to_tensor(d[key], track_meta=get_track_meta(), dtype=torch.float32)
            self._do_transform = do_resampling
            self.push_transform(d[key], replace=True, lazy=lazy_)
        return d

    def inverse(self, data: Mapping[Hashable, NdarrayOrTensor]) -> dict[Hashable, NdarrayOrTensor]:
        d = dict(data)
        for key in self.key_iterator(d):
            tr = self.pop_transform(d[key])
            if TraceKeys.EXTRA_INFO not in tr[TraceKeys.EXTRA_INFO]:
                continue
            do_resampling = tr[TraceKeys.EXTRA_INFO][TraceKeys.EXTRA_INFO]['do_resampling']
            if do_resampling:
                d[key].applied_operations.append(tr[TraceKeys.EXTRA_INFO])
                d[key] = self.rand_affine.inverse(d[key])
        return d","The supplier shall document which training data elements/variables were used to develop the model [assuming that it is not all of the data originally collected (see 5.2.4)]. Where data are excluded, the supplier shall document the process and rationale for removal.",FALSE
"class RandAffined(RandomizableTransform, MapTransform, InvertibleTransform, LazyTransform):
    """"""
    Dictionary-based wrapper of :py:class:`monai.transforms.RandAffine`.

    This transform is capable of lazy execution. See the :ref:`Lazy Resampling topic<lazy_resampling>`
    for more information.
    """"""
    backend = RandAffine.backend

    def __init__(self, keys: KeysCollection, spatial_size: Sequence[int] | int | None=None, prob: float=0.1, rotate_range: Sequence[tuple[float, float] | float] | float | None=None, shear_range: Sequence[tuple[float, float] | float] | float | None=None, translate_range: Sequence[tuple[float, float] | float] | float | None=None, scale_range: Sequence[tuple[float, float] | float] | float | None=None, mode: SequenceStr=GridSampleMode.BILINEAR, padding_mode: SequenceStr=GridSamplePadMode.REFLECTION, cache_grid: bool=False, device: torch.device | None=None, allow_missing_keys: bool=False, lazy: bool=False) -> None:
        """"""
        Args:
            keys: keys of the corresponding items to be transformed.
            spatial_size: output image spatial size.
                if `spatial_size` and `self.spatial_size` are not defined, or smaller than 1,
                the transform will use the spatial size of `img`.
                if some components of the `spatial_size` are non-positive values, the transform will use the
                corresponding components of img size. For example, `spatial_size=(32, -1)` will be adapted
                to `(32, 64)` if the second spatial dimension size of img is `64`.
            prob: probability of returning a randomized affine grid.
                defaults to 0.1, with 10% chance returns a randomized grid.
            rotate_range: angle range in radians. If element `i` is a pair of (min, max) values, then
                `uniform[-rotate_range[i][0], rotate_range[i][1])` will be used to generate the rotation parameter
                for the `i`th spatial dimension. If not, `uniform[-rotate_range[i], rotate_range[i])` will be used.
                This can be altered on a per-dimension basis. E.g., `((0,3), 1, ...)`: for dim0, rotation will be
                in range `[0, 3]`, and for dim1 `[-1, 1]` will be used. Setting a single value will use `[-x, x]`
                for dim0 and nothing for the remaining dimensions.
            shear_range: shear range with format matching `rotate_range`, it defines the range to randomly select
                shearing factors(a tuple of 2 floats for 2D, a tuple of 6 floats for 3D) for affine matrix,
                take a 3D affine as example::

                    [
                        [1.0, params[0], params[1], 0.0],
                        [params[2], 1.0, params[3], 0.0],
                        [params[4], params[5], 1.0, 0.0],
                        [0.0, 0.0, 0.0, 1.0],
                    ]

            translate_range: translate range with format matching `rotate_range`, it defines the range to randomly
                select pixel/voxel to translate for every spatial dims.
            scale_range: scaling range with format matching `rotate_range`. it defines the range to randomly select
                the scale factor to translate for every spatial dims. A value of 1.0 is added to the result.
                This allows 0 to correspond to no change (i.e., a scaling of 1.0).
            mode: {``""bilinear""``, ``""nearest""``} or spline interpolation order 0-5 (integers).
                Interpolation mode to calculate output values. Defaults to ``""bilinear""``.
                See also: https://pytorch.org/docs/stable/generated/torch.nn.functional.grid_sample.html
                When it's an integer, the numpy (cpu tensor)/cupy (cuda tensor) backends will be used
                and the value represents the order of the spline interpolation.
                See also: https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.map_coordinates.html
                It also can be a sequence, each element corresponds to a key in ``keys``.
            padding_mode: {``""zeros""``, ``""border""``, ``""reflection""``}
                Padding mode for outside grid values. Defaults to ``""reflection""``.
                See also: https://pytorch.org/docs/stable/generated/torch.nn.functional.grid_sample.html
                When `mode` is an integer, using numpy/cupy backends, this argument accepts
                {'reflect', 'grid-mirror', 'constant', 'grid-constant', 'nearest', 'mirror', 'grid-wrap', 'wrap'}.
                See also: https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.map_coordinates.html
                It also can be a sequence, each element corresponds to a key in ``keys``.
            cache_grid: whether to cache the identity sampling grid.
                If the spatial size is not dynamically defined by input image, enabling this option could
                accelerate the transform.
            device: device on which the tensor will be allocated.
            allow_missing_keys: don't raise exception if key is missing.
            lazy: a flag to indicate whether this transform should execute lazily or not.
                Defaults to False

        See also:
            - :py:class:`monai.transforms.compose.MapTransform`
            - :py:class:`RandAffineGrid` for the random affine parameters configurations.

        """"""
        MapTransform.__init__(self, keys, allow_missing_keys)
        RandomizableTransform.__init__(self, prob)
        LazyTransform.__init__(self, lazy=lazy)
        self.rand_affine = RandAffine(prob=1.0, rotate_range=rotate_range, shear_range=shear_range, translate_range=translate_range, scale_range=scale_range, spatial_size=spatial_size, cache_grid=cache_grid, device=device, lazy=lazy)
        self.mode = ensure_tuple_rep(mode, len(self.keys))
        self.padding_mode = ensure_tuple_rep(padding_mode, len(self.keys))

    @LazyTransform.lazy.setter
    def lazy(self, val: bool) -> None:
        self._lazy = val
        self.rand_affine.lazy = val

    def set_random_state(self, seed: int | None=None, state: np.random.RandomState | None=None) -> RandAffined:
        self.rand_affine.set_random_state(seed, state)
        super().set_random_state(seed, state)
        return self

    def __call__(self, data: Mapping[Hashable, NdarrayOrTensor], lazy: bool | None=None) -> dict[Hashable, NdarrayOrTensor]:
        """"""
        Args:
            data: a dictionary containing the tensor-like data to be processed. The ``keys`` specified
                in this dictionary must be tensor like arrays that are channel first and have at most
                three spatial dimensions
            lazy: a flag to indicate whether this transform should execute lazily or not
                during this call. Setting this to False or True overrides the ``lazy`` flag set
                during initialization for this call. Defaults to None.

        Returns:
            a dictionary containing the transformed data, as well as any other data present in the dictionary
        """"""
        d = dict(data)
        first_key: Hashable = self.first_key(d)
        if first_key == ():
            out: dict[Hashable, NdarrayOrTensor] = convert_to_tensor(d, track_meta=get_track_meta())
            return out
        self.randomize(None)
        self.rand_affine.randomize()
        item = d[first_key]
        spatial_size = item.peek_pending_shape() if isinstance(item, MetaTensor) else item.shape[1:]
        lazy_ = self.lazy if lazy is None else lazy
        sp_size = fall_back_tuple(self.rand_affine.spatial_size, spatial_size)
        do_resampling = self._do_transform or sp_size != ensure_tuple(spatial_size)
        grid = None
        if do_resampling:
            grid = self.rand_affine.get_identity_grid(sp_size, lazy=lazy_)
            if self._do_transform:
                grid = self.rand_affine.rand_affine_grid(sp_size, grid=grid, lazy=lazy_)
        grid = 0 if grid is None else grid
        for (key, mode, padding_mode) in self.key_iterator(d, self.mode, self.padding_mode):
            if do_resampling:
                d[key] = self.rand_affine(d[key], None, mode, padding_mode, True, grid, lazy=lazy_)
            else:
                d[key] = convert_to_tensor(d[key], track_meta=get_track_meta(), dtype=torch.float32)
            self._do_transform = do_resampling
            self.push_transform(d[key], replace=True, lazy=lazy_)
        return d

    def inverse(self, data: Mapping[Hashable, NdarrayOrTensor]) -> dict[Hashable, NdarrayOrTensor]:
        d = dict(data)
        for key in self.key_iterator(d):
            tr = self.pop_transform(d[key])
            if TraceKeys.EXTRA_INFO not in tr[TraceKeys.EXTRA_INFO]:
                continue
            do_resampling = tr[TraceKeys.EXTRA_INFO][TraceKeys.EXTRA_INFO]['do_resampling']
            if do_resampling:
                d[key].applied_operations.append(tr[TraceKeys.EXTRA_INFO])
                d[key] = self.rand_affine.inverse(d[key])
        return d","The software supplier shall enforce a consistent directory and file structure for the project to facilitate code organization, navigation, and maintainability.",TRUE
"@rank_zero_only
def on_validation_epoch_start(self, trainer: Trainer, pl_module: LightningModule) -> None:
    self.val_timers.epoch_start()
    self.train_timers.epoch_end()","Suppliers shall document their bias in the stages of model design, development and deployment by evidencing what they see as a model’s risk profile versus alternatives. The description shall conform to good practice reporting guidelines.",FALSE
"@rank_zero_only
def on_validation_epoch_start(self, trainer: Trainer, pl_module: LightningModule) -> None:
    self.val_timers.epoch_start()
    self.train_timers.epoch_end()","The software supplier shall require that all functions and classes have comment headers describing their purpose and usage, following a standard format for these comments.",FALSE
"@pytest.mark.fast
def test_extract_v2_data_asset_from_env_vars() -> None:
    valid_mock_environment = {'AZURE_ML_INPUT_INPUT_0': 'input_0', 'AZURE_ML_OUTPUT_OUTPUT_0': 'output_0'}
    with patch.dict(os.environ, valid_mock_environment):
        input_dataset_0 = himl._extract_v2_data_asset_from_env_vars(0, 'INPUT_')
        output_dataset_0 = himl._extract_v2_data_asset_from_env_vars(0, 'OUTPUT_')
        assert input_dataset_0 == Path('input_0')
        assert output_dataset_0 == Path('output_0')
        with pytest.raises(ValueError):
            himl._extract_v2_data_asset_from_env_vars(5, 'OUTPUT_')
    valid_mock_environment = {'AZURE_ML_INPUT_INPUT_2': 'input_2', 'AZURE_ML_INPUT_INPUT_1': 'input_1', 'AZURE_ML_INPUT_INPUT_0': 'input_0', 'AZURE_ML_INPUT_INPUT_3': 'input_3'}
    with patch.dict(os.environ, valid_mock_environment):
        input_datasets = [himl._extract_v2_data_asset_from_env_vars(i, 'INPUT_') for i in range(len(valid_mock_environment))]
        assert input_datasets == [Path('input_0'), Path('input_1'), Path('input_2'), Path('input_3')]",The supplier shall document and justify the use of any decision thresholds that convert probabilities into discrete outputs in the final model.,FALSE
"@pytest.mark.fast
def test_extract_v2_data_asset_from_env_vars() -> None:
    valid_mock_environment = {'AZURE_ML_INPUT_INPUT_0': 'input_0', 'AZURE_ML_OUTPUT_OUTPUT_0': 'output_0'}
    with patch.dict(os.environ, valid_mock_environment):
        input_dataset_0 = himl._extract_v2_data_asset_from_env_vars(0, 'INPUT_')
        output_dataset_0 = himl._extract_v2_data_asset_from_env_vars(0, 'OUTPUT_')
        assert input_dataset_0 == Path('input_0')
        assert output_dataset_0 == Path('output_0')
        with pytest.raises(ValueError):
            himl._extract_v2_data_asset_from_env_vars(5, 'OUTPUT_')
    valid_mock_environment = {'AZURE_ML_INPUT_INPUT_2': 'input_2', 'AZURE_ML_INPUT_INPUT_1': 'input_1', 'AZURE_ML_INPUT_INPUT_0': 'input_0', 'AZURE_ML_INPUT_INPUT_3': 'input_3'}
    with patch.dict(os.environ, valid_mock_environment):
        input_datasets = [himl._extract_v2_data_asset_from_env_vars(i, 'INPUT_') for i in range(len(valid_mock_environment))]
        assert input_datasets == [Path('input_0'), Path('input_1'), Path('input_2'), Path('input_3')]","The software supplier shall prohibit the use of ""magic"" numbers or strings in the code and require the use of constants or named variables for improved code readability.",FALSE
